OTU,Domain,Phylum,Class,Order,Family,Genus,Species
b21f8cd99a1ca2af3f89fd2faf0ce13e,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,
dcc453180f4f8181835dc7c9227847d6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Pelagibacterium,
4f856faa12011d6b010d1218d6af965c,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,uncultured,
f96ddaea9d1299549c99a890459773cc,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
d58f6846510856ec93dcf6ae470367ba,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,AB1,uncultured_bacterium
cf6a31efb4e87daed8f7ca8fae559bab,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,,,
73f4d3dfb22a8fd39280a959f37c3b0d,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,
f83923a22ffa8130fba8ab794966e07a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured,
d3371dfeecc07fd6c44891d4e64748f3,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,,,
36ecd054f5309a9658926a0926d7ee82,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,
4d3b46b4db906ac1f9317da0fd4b4c54,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
9d5235f62bc568514df4fdf066956e3b,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
ab5a4b0be46c6a877f5f7df33c652a07,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
a0e409c85f36e4a31ba22ff033860aa2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
babe81eaf70740e3e50ebb25e22ae8e9,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,
8a819f2e2a25816dcd9afd1d2ab28702,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
bc9c016d7cee82f66c0dacc34f01dd60,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium
67ff81f260a2a71f0a15a9bf0ac876d4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Larkinella,
c130baecd35f08a8f79bdfbdc0abb6c0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,
9fb93bb2ee18a151f6f9191c449012ff,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
a2c199467ed80405e3aa874b12702be7,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,uncultured_bacterium
7cdf8a95ebae5091fc58d86291489184,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,
b9875bae83467e83cbb87f0bb6ed2db0,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,
b09b0fc187466c59d50fdc3306b29ce5,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,
1651c3df4470093d7b6b171eb57191f4,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
