OTU_ID,EXTRNEG,ExtrNeg1,EXTRPOS,GW1,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW2,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW3,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,GW39,GW4,GW40,GW41,GW42,GW43,GW44,GW45,GW46,GW47,GW48,GW49,GW5,GW50,GW51,GW52,GW53,GW54,GW55,GW56,GW57,GW58,GW59,GW6,GW60,GW61,GW62,GW63,GW64,GW65,GW66,GW67,GW68,GW69,GW7,GW70,GW71,GW72,GW73,GW74,GW8,GW9,PCRNeg1,PCRNeg2,PCRPos1,PCRPos2
e61a7bc42a30f0ca4f170b5e3f6cad0c,0,0,0,0,0,0,0,11859,43,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,194,0,0,411,0,109,899,0,0,0,0,0,0,0,0,12184,0,0,125,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0
9908fffab7ed4f3bec44cda2f5084d49,0,0,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,158,0,0,0,0,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10133,13392
569653b1659271a290facfcedd0de061,0,0,0,2423,0,0,185,219,1792,106,0,0,0,0,0,101,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14440,0,0,0,810,0,713,0,0,0,0,4014,0,0,0,0,0,0,0,0,0,0,119,0,0,0,37,0,0,0,0,0,0,0
bcba47620c299fd34809f143e3d26dff,0,0,0,161,0,0,0,0,109,114,0,45,208,0,122,181,16,0,0,0,101,904,55,1719,85,192,0,0,0,0,33,0,0,739,83,446,146,116,0,0,46,0,0,65,70,0,47,313,228,223,0,0,0,35,430,75,35,9980,35,37,46,960,384,177,0,153,186,37,1412,2138,31,515,1113,0,251,340,0,0,0,0,0
d46e2205f0c6ecf67b51f83d111c509c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,455,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,0,48,0,0,0,0,198,0,0,60,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8022,12642
2d77cf80c9b03b82ce7ed6eacfa04e12,0,0,0,0,0,0,6333,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,11243,2958,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0
4b961b84716ac167392b11929d702643,0,0,0,132,0,0,0,0,413,312,0,0,0,0,1193,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,230,0,57,0,0,0,0,419,254,0,2072,1031,268,139,543,463,0,0,184,600,142,3431,186,76,0,105,0,0,638,830,0,0,0,772,66,937,53,84,1285,547,0,0,2285,0,0,0,0,0
325b4d7fac7f2d2d18bceaf80b945bbe,0,0,0,0,0,0,7151,146,0,260,0,17,0,0,0,0,55,485,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,128,0,0,0,0,0,0,564,0,0,727,1414,0,0,0,0,980,0,0,397,0,0,0,0,185,0,0,154,0,0,155,0,0,240,0,258,0,0,0,5471,101,376,0,0,0,0,0
ff9d93d7b7e46787568f2d241caeaf3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,0,0,0,0,0,5665,0,0,5228,7045
225c2919fc0b1314d4dcd9f65ca793dd,0,0,0,57,0,0,0,15,361,193,0,0,0,0,174,0,0,40,0,0,18,1379,100,0,0,4690,699,0,0,0,19,0,0,0,137,372,344,2274,0,0,197,209,39,15,421,49,1038,340,541,89,33,100,0,80,136,26,10,0,106,30,13,650,569,153,0,12,380,26,157,520,16,607,316,0,279,305,0,0,0,0,0
